Fecha corte	Destino	Líder responsable	Item	Referencia	Inv Ayer	Vendido	Inv hoy	Explicación
23/06/2026	TAT PASTO	Johanna Olave	2110302	HUEVO L X 30 CARTON VERDE CANASTA	453918	213838	579804	
23/06/2026	TAT BARRANQUILLA	Juan Carlos Ortega	2110302	HUEVO L X 30 CARTON VERDE CANASTA	311110	135027	146138	
23/06/2026	TAT BARRANQUILLA	Juan Carlos Ortega	2110402	HUEVO M X 30 CARTON VERDE CANASTA	358169	91958	380562	
23/06/2026	TAT MEDELLIN	Sergio Clavijo	2110302	HUEVO L X 30 CARTON VERDE CANASTA	133200	52968	173040	
23/06/2026	TAT CALI		2110302	HUEVO L X 30 CARTON VERDE CANASTA	112844	63452	43570	
23/06/2026	TAT MEDELLIN	Sergio Clavijo	2110217	HUEVO XL X 30 CARTON VERDE AMARRADO SIN ETIQUETA CANASTA	13320	12613	15360	
23/06/2026	TAT MONTERIA	Sergio Clavijo	2110402	HUEVO M X 30 CARTON VERDE CANASTA	161826	58062	102368	
